product_id,product_name,category,subcategory,price,supplier_info,stock_quantity,reorder_level,is_active
PROD-0060,Photo Frame Set 5pk,Home & Garden,Home Decor,50.57,EcoSupply Co|Taiwan,475,42,Yes
PROD-0061,Adjustable Dumbbell Set,Sports & Outdoors,Fitness,240.63,Sunrise Trading|South Korea,310,15,Yes
PROD-0062,Yoga Mat Pro 6mm,Sports & Outdoors,Fitness,61.5,BetaWholesale AG|Vietnam,202,11,No
PROD-0063,Resistance Band Set,Sports & Outdoors,Fitness,36.86,FastTrack Imports|USA,382,35,Yes
PROD-0064,Pull-up Bar Doorframe,Sports & Outdoors,Fitness,52.61,PremiumGoods Ltd|South Korea,346,33,Yes
PROD-0065,Jump Rope Speed,Sports & Outdoors,Fitness,25.21,GreenChain Europe|USA,63,12,Yes
PROD-0066,Hiking Backpack 50L,Sports & Outdoors,Outdoor,160.85,AlphaManufacturing|Poland,280,15,Yes
PROD-0067,Tent 2-Person Ultralight,Sports & Outdoors,Outdoor,237.45,Atlantic Goods Co|Taiwan,108,36,Yes
PROD-0068,Trekking Poles Carbon,Sports & Outdoors,Outdoor,84.17,FastTrack Imports|Mexico,427,26,Yes
PROD-0069,Sleeping Bag -10C,Sports & Outdoors,Outdoor,130.43,Sunrise Trading|Mexico,436,13,No
PROD-0070,Football Pro Match,Sports & Outdoors,Team Sports,80.83,EcoSupply Co|South Korea,343,14,Yes
PROD-0071,Basketball Size 7,Sports & Outdoors,Team Sports,55.21,Atlantic Goods Co|Mexico,249,31,Yes
PROD-0072,Tennis Racket Pro 300,Sports & Outdoors,Team Sports,140.14,Sunrise Trading|Japan,51,28,Yes
PROD-0073,Volleyball + Net Set,Sports & Outdoors,Team Sports,105.34,NovaTrade Inc|India,230,31,Yes
PROD-0074,Surfboard Shortboard 6ft,Sports & Outdoors,Water Sports,565.99,PremiumGoods Ltd|Mexico,290,33,Yes
PROD-0075,Snorkel Set Premium,Sports & Outdoors,Water Sports,84.8,PremiumGoods Ltd|China,160,25,Yes
PROD-0076,Kayak Paddle Fibreglass,Sports & Outdoors,Water Sports,123.04,Sunrise Trading|Vietnam,141,33,Yes
PROD-0077,Wetsuit 3mm Full,Sports & Outdoors,Water Sports,204.72,NovaTrade Inc|India,236,38,Yes
PROD-0078,The Last Algorithm,Books & Media,Fiction,16.7,BetaWholesale AG|Poland,55,21,Yes
PROD-0079,Midnight in Milan,Books & Media,Fiction,14.77,PremiumGoods Ltd|Poland,100,26,Yes
PROD-0080,Dragon's Keep,Books & Media,Fiction,18.65,TechSource Global|Poland,323,11,No
PROD-0081,Shadow Protocol,Books & Media,Fiction,15.65,FastTrack Imports|China,282,26,No
PROD-0082,The Glass Archive,Books & Media,Fiction,17.42,PremiumGoods Ltd|Taiwan,200,24,Yes
PROD-0083,Data-Driven Leadership,Books & Media,Non-Fiction,22.59,GreenChain Europe|Poland,46,35,Yes
PROD-0084,The Art of Deep Focus,Books & Media,Non-Fiction,19.01,Sunrise Trading|Japan,434,49,Yes
PROD-0085,Future Minds,Books & Media,Non-Fiction,22.91,PremiumGoods Ltd|India,81,21,Yes
PROD-0086,The Creator Economy,Books & Media,Non-Fiction,21.79,BetaWholesale AG|Taiwan,20,24,No
PROD-0087,Python for Data Engineers,Books & Media,Educational,46.9,QualityFirst GmbH|Taiwan,119,12,Yes
PROD-0088,SQL Mastery Handbook,Books & Media,Educational,44.13,NovaTrade Inc|Vietnam,240,39,Yes
PROD-0089,Cloud Architecture Pro,Books & Media,Educational,50.02,Sunrise Trading|Taiwan,52,43,Yes
PROD-0090,ML in Production,Books & Media,Educational,62.16,QualityFirst GmbH|Mexico,278,46,Yes
PROD-0091,Galactic Wanderers Vol.1,Books & Media,Comics,24.51,AlphaManufacturing|Taiwan,300,14,Yes
PROD-0092,Steel City Chronicles,Books & Media,Comics,21.56,FastTrack Imports|Poland,207,32,Yes
PROD-0093,The Lost Continent,Books & Media,Comics,19.96,BetaWholesale AG|Mexico,3,42,Yes
PROD-0094,Neon Uprising Vol.3,Books & Media,Comics,22.78,FastTrack Imports|Germany,263,27,Yes
