order_id,customer_id,product_id,product_info,shipping_info,order_date,quantity,unit_price,discount_pct,amount,status,region,channel,payment_method,updated_at
ORD-000025,CUST-0117,PROD-0037,Clothing|Accessories|Leather Belt,UPS|PKG468965063,2024-06-11,3,57.78,10,156.01,pending,North America,Mobile App,PayPal,2024-06-13 18:00:00
ORD-000026,CUST-0121,PROD-0092,Books & Media|Comics|Steel City Chronicles,DHL|TRK234260583,2024-05-08,1,20.47,5,19.45,completed,North America,Mobile App,Crypto,2024-05-08 06:00:00
ORD-000027,CUST-0080,PROD-0015,Electronics|Headphones|Sony WH-1000XM5,UPS|SHP763682156,2024-07-18,3,326.33,15,832.14,shipped,Europe,Web,Credit Card,2024-07-20 19:00:00
ORD-000028,CUST-0240,PROD-0078,Books & Media|Fiction|The Last Algorithm,DPD|SHP611267257,2024-05-19,5,15.79,15,67.11,Complete,Europe,Mobile App,Crypto,2024-05-21 07:00:00
ORD-000029,CUST-0046,PROD-0054,Home & Garden|Garden|Garden Hose Reel,USPS|PKG964048388,2024-06-06,3,87.12,0,261.36,SHIPPED,North America,Mobile App,Credit Card,2024-06-07 20:00:00
ORD-000030,CUST-0221,PROD-0026,Clothing|Men's Apparel|Slim Fit Jeans,USPS|SHP109806050,2024-11-01,2,95.34,10,171.61,Pending,North America,Mobile App,Bank Transfer,2024-11-03 02:00:00
ORD-000031,CUST-0217,PROD-0018,Electronics|Headphones|Sennheiser Momentum 4,TNT Express|SHP185050803,2024-05-02,5,317.98,10,1430.91,shipped,North America,Partner API,Crypto,2024-05-03 10:00:00
ORD-000032,CUST-0234,PROD-0024,Clothing|Men's Apparel|Oxford Button Shirt,DHL|SHP218494225,2024-08-19,3,61.84,5,176.24,Shipped,North America,Web,Credit Card,2024-08-21 20:00:00
ORD-000033,CUST-0225,PROD-0003,Electronics|Smartphones|Google Pixel 8,Royal Mail|PKG867935795,2024-01-05,2,630.25,0,1260.5,Canceled,North America,Mobile App,PayPal,2024-01-07 15:00:00
ORD-000034,CUST-0075,PROD-0091,Books & Media|Comics|Galactic Wanderers Vol.1,DPD|TRK905917946,2024-05-16,4,22.43,5,85.23,Complete,North America,Web,Bank Transfer,2024-05-16 01:00:00
ORD-000035,CUST-0018,PROD-0009,Electronics|Laptops|HP Spectre x360,USPS|PKG892012381,2024-08-23,1,1305.59,0,1305.59,cancelled,Europe,Web,PayPal,2024-08-23 20:00:00
ORD-000036,CUST-0247,PROD-0046,Home & Garden|Furniture|Standing Desk 140cm,GLS|TRK371992483,2024-06-01,2,530.61,0,1061.22,Shipped,Middle East & Africa,Web,Bank Transfer,2024-06-02 17:00:00
ORD-000037,CUST-0022,PROD-0011,Electronics|Tablets|iPad Pro 12.9,Hermes|PKG109588354,2024-08-31,5,1008.0,20,4032.0,Completed,North America,Mobile App,Credit Card,2024-09-01 19:00:00
ORD-000038,CUST-0275,PROD-0078,Books & Media|Fiction|The Last Algorithm,DPD|PKG853045356,2024-03-05,4,14.97,10,53.89,Pending,Asia Pacific,Mobile App,Credit Card,2024-03-05 02:00:00
ORD-000039,CUST-0225,PROD-0071,Sports & Outdoors|Team Sports|Basketball Size 7,Royal Mail|TRK621089199,2024-05-30,5,61.79,0,308.95,Complete,Europe,Web,Bank Transfer,2024-05-31 11:00:00
ORD-000040,CUST-0152,PROD-0083,Books & Media|Non-Fiction|Data-Driven Leadership,GLS|PKG582522615,2024-10-04,3,23.74,20,56.98,Returned,Europe,Web,Credit Card,2024-10-05 22:00:00
ORD-000041,CUST-0269,PROD-0068,Sports & Outdoors|Outdoor|Trekking Poles Carbon,UPS|DEL303870775,2024-09-11,5,81.61,0,408.05,Dispatched,Europe,Web,Credit Card,2024-09-11 12:00:00
ORD-000042,CUST-0104,PROD-0042,Home & Garden|Furniture|Ergonomic Office Chair,DHL|PKG133579936,2024-09-05,2,405.76,10,730.37,pending,Asia Pacific,Mobile App,Crypto,2024-09-06 08:00:00
ORD-000043,CUST-0252,PROD-0010,Electronics|Laptops|ASUS ZenBook Pro,UPS|TRK324130818,2024-08-27,1,1158.98,15,985.13,PENDING,Asia Pacific,Partner API,Credit Card,2024-08-28 10:00:00
ORD-000044,CUST-0050,PROD-0044,Home & Garden|Furniture|3-Seat Velvet Sofa,UPS|PKG657793068,2024-04-28,5,1263.25,0,6316.25,Shipped,Europe,Web,Crypto,2024-04-30 23:00:00
ORD-000045,CUST-0219,PROD-0027,Clothing|Men's Apparel|Waterproof Parka,DPD|DEL854357762,2024-03-26,2,201.39,10,362.5,Pending,Asia Pacific,Mobile App,Crypto,2024-03-28 08:00:00
ORD-000046,CUST-0221,PROD-0089,Books & Media|Educational|Cloud Architecture Pro,DPD|DEL920536715,2024-06-14,5,50.64,10,227.88,Shipped,Europe,Mobile App,PayPal,2024-06-15 22:00:00
ORD-000047,CUST-0009,PROD-0094,Books & Media|Comics|Neon Uprising Vol.3,FedEx|TRK405460403,2024-03-10,3,20.28,0,60.84,Shipped,Latin America,Web,PayPal,2024-03-12 22:00:00
ORD-000048,CUST-0080,PROD-0047,Home & Garden|Kitchen|KitchenAid Stand Mixer,FedEx|DEL481882460,2024-05-15,3,436.31,0,1308.93,Shipped,North America,Web,Credit Card,2024-05-17 03:00:00
ORD-000049,CUST-0250,PROD-0047,Home & Garden|Kitchen|KitchenAid Stand Mixer,DPD|DEL285652633,2024-10-22,1,408.12,0,408.12,Completed,Asia Pacific,Mobile App,Bank Transfer,2024-10-22 10:00:00
ORD-000050,CUST-0117,PROD-0072,Sports & Outdoors|Team Sports|Tennis Racket Pro 300,Hermes|DEL229429404,2024-11-04,1,153.79,15,130.72,Pending,North America,Mobile App,Credit Card,2024-11-05 16:00:00
ORD-000051,CUST-0026,PROD-0049,Home & Garden|Kitchen|French Press Set,GLS|PKG264494545,2024-07-20,4,51.97,10,187.09,Returned,North America,Mobile App,PayPal,2024-07-22 02:00:00
ORD-000052,CUST-0205,PROD-0011,Electronics|Tablets|iPad Pro 12.9,USPS|TRK688574163,2024-02-13,4,1099.48,20,3518.34,completed,Asia Pacific,Mobile App,Crypto,2024-02-14 01:00:00
ORD-000053,CUST-0037,PROD-0051,Home & Garden|Kitchen|Espresso Machine,Evri|PKG360183853,2024-08-08,3,312.26,10,843.1,Completed,North America,Mobile App,Bank Transfer,2024-08-09 22:00:00
ORD-000054,CUST-0157,PROD-0035,Clothing|Kids' Apparel|Jogger Set,Evri|TRK926438998,2024-06-28,5,52.78,20,211.12,Cancelled,Europe,Mobile App,Credit Card,2024-06-29 05:00:00
ORD-000055,CUST-0028,PROD-0012,Electronics|Tablets|Samsung Galaxy Tab S9,UPS|TRK894119729,2024-11-13,2,869.71,20,1391.54,shipped,North America,Partner API,Credit Card,2024-11-14 15:00:00
ORD-000056,CUST-0280,PROD-0044,Home & Garden|Furniture|3-Seat Velvet Sofa,TNT Express|PKG318830034,2024-05-12,5,1293.71,15,5498.27,COMPLETED,Asia Pacific,Partner API,Credit Card,2024-05-14 00:00:00
ORD-000057,CUST-0103,PROD-0044,Home & Garden|Furniture|3-Seat Velvet Sofa,DHL|TRK404957218,2024-11-12,3,1159.67,15,2957.16,Completed,North America,Partner API,PayPal,2024-11-13 22:00:00
ORD-000058,CUST-0261,PROD-0080,Books & Media|Fiction|Dragon's Keep,Hermes|PKG508774805,2024-02-20,3,17.93,10,48.41,Completed,North America,Mobile App,Bank Transfer,2024-02-22 23:00:00
ORD-000059,CUST-0251,PROD-0078,Books & Media|Fiction|The Last Algorithm,TNT Express|SHP458167668,2024-03-21,1,15.41,0,15.41,Pending,Europe,Web,Crypto,2024-03-22 11:00:00
ORD-000060,CUST-0078,PROD-0090,Books & Media|Educational|ML in Production,FedEx|SHP342217581,2024-07-20,2,53.16,5,101.0,returned,Middle East & Africa,Mobile App,Credit Card,2024-07-22 05:00:00
ORD-000061,CUST-0278,PROD-0009,Electronics|Laptops|HP Spectre x360,Royal Mail|SHP582291740,2024-04-15,2,1324.26,15,2251.24,Shipped,Latin America,Web,Crypto,2024-04-15 17:00:00
ORD-000062,CUST-0286,PROD-0032,Clothing|Women's Apparel|Wrap Midi Dress,DHL|SHP172814771,2024-03-01,2,109.97,0,219.94,Completed,Asia Pacific,Mobile App,Bank Transfer,2024-03-02 14:00:00
ORD-000063,CUST-0095,PROD-0034,Clothing|Kids' Apparel|Graphic T-Shirt Pack,TNT Express|TRK241246317,2024-11-09,5,33.04,10,148.68,Shipped,Europe,Web,Credit Card,2024-11-10 21:00:00
ORD-000064,CUST-0192,PROD-0016,Electronics|Headphones|Apple AirPods Pro 2,GLS|DEL864524716,2024-07-17,4,247.44,0,989.76,Shipped,North America,Mobile App,Credit Card,2024-07-18 10:00:00
ORD-000065,CUST-0225,PROD-0084,Books & Media|Non-Fiction|The Art of Deep Focus,TNT Express|TRK290136266,2024-09-07,3,20.67,0,62.01,In Progress,Europe,Web,Crypto,2024-09-09 00:00:00
ORD-000066,CUST-0234,PROD-0074,Sports & Outdoors|Water Sports|Surfboard Shortboard 6ft,GLS|TRK584912105,2024-05-05,5,553.99,15,2354.46,Completed,Europe,Mobile App,Credit Card,2024-05-06 00:00:00
ORD-000067,CUST-0217,PROD-0039,Clothing|Accessories|Canvas Tote Bag,Royal Mail|DEL278763625,2024-11-09,1,47.05,0,47.05,cancelled,Asia Pacific,Mobile App,Credit Card,2024-11-11 16:00:00
ORD-000068,CUST-0231,PROD-0020,Electronics|Cameras|Sony A7 IV,Hermes|DEL447313528,2024-04-01,4,2553.17,15,8680.78,Shipped,Latin America,Web,PayPal,2024-04-02 17:00:00
ORD-000069,CUST-0231,PROD-0066,Sports & Outdoors|Outdoor|Hiking Backpack 50L,UPS|TRK858305156,2024-07-04,1,159.91,5,151.91,Returned,Europe,Web,Bank Transfer,2024-07-06 22:00:00
ORD-000070,CUST-0075,PROD-0030,Clothing|Women's Apparel|Wide Leg Trousers,Evri|PKG274079423,2024-01-27,4,84.9,15,288.66,Cancelled,North America,Web,Credit Card,2024-01-27 16:00:00
ORD-000071,CUST-0255,PROD-0082,Books & Media|Fiction|The Glass Archive,Royal Mail|TRK592463803,2024-10-05,1,17.44,5,16.57,Shipped,North America,Partner API,Bank Transfer,2024-10-07 10:00:00
ORD-000072,CUST-0281,PROD-0027,Clothing|Men's Apparel|Waterproof Parka,Evri|TRK362758762,2024-11-13,5,214.29,0,1071.45,Completed,North America,Web,PayPal,2024-11-13 04:00:00
ORD-000073,CUST-0045,PROD-0005,Electronics|Smartphones|Sony Xperia 1 VI,Evri|SHP455527819,2024-02-25,4,1452.93,0,5811.72,shipped,Europe,Partner API,Crypto,2024-02-27 23:00:00
ORD-000074,CUST-0154,PROD-0017,Electronics|Headphones|Bose QuietComfort 45,FedEx|TRK925183459,2024-07-07,4,300.44,20,961.41,In Progress,Asia Pacific,Web,PayPal,2024-07-09 12:00:00
ORD-000075,CUST-0108,PROD-0013,Electronics|Tablets|Microsoft Surface Pro 9,GLS|DEL663334583,2024-04-17,5,893.07,10,4018.82,Completed,Europe,Partner API,Crypto,2024-04-18 12:00:00
ORD-000076,CUST-0289,PROD-0035,Clothing|Kids' Apparel|Jogger Set,GLS|SHP239278422,2024-09-23,4,48.91,0,195.64,Shipped,Asia Pacific,Web,Credit Card,2024-09-23 15:00:00
ORD-000077,CUST-0024,PROD-0002,Electronics|Smartphones|Samsung Galaxy S24,Evri|DEL544573290,2024-06-28,5,1072.38,0,5361.9,Completed,Europe,Partner API,PayPal,2024-06-29 08:00:00
ORD-000078,CUST-0004,PROD-0072,Sports & Outdoors|Team Sports|Tennis Racket Pro 300,GLS|SHP923594990,2024-06-19,3,145.28,10,392.26,Completed,Asia Pacific,Web,PayPal,2024-06-20 19:00:00
ORD-000079,CUST-0080,PROD-0094,Books & Media|Comics|Neon Uprising Vol.3,FedEx|PKG617001884,2024-08-23,5,25.19,5,119.65,PENDING,Latin America,Web,Crypto,2024-08-24 14:00:00
ORD-000080,CUST-0182,PROD-0052,Home & Garden|Garden|Raised Garden Bed 120cm,TNT Express|SHP958494527,2024-03-17,3,139.55,0,418.65,Pending,Europe,Web,Crypto,2024-03-19 01:00:00
ORD-000081,CUST-0212,PROD-0003,Electronics|Smartphones|Google Pixel 8,DPD|TRK391518128,2024-09-11,2,677.46,20,1083.94,SHIPPED,North America,Web,Credit Card,2024-09-11 14:00:00
ORD-000082,CUST-0013,PROD-0024,Clothing|Men's Apparel|Oxford Button Shirt,UPS|DEL643307666,2024-09-13,2,54.61,5,103.76,SHIPPED,Asia Pacific,Web,Credit Card,2024-09-15 18:00:00
ORD-000083,CUST-0268,PROD-0067,Sports & Outdoors|Outdoor|Tent 2-Person Ultralight,FedEx|DEL516169674,2024-01-03,3,274.84,15,700.84,Completed,North America,Web,Credit Card,2024-01-05 18:00:00
ORD-000084,CUST-0108,PROD-0070,Sports & Outdoors|Team Sports|Football Pro Match,Evri|SHP785960873,2024-04-12,2,74.95,10,134.91,Dispatched,Asia Pacific,Partner API,Credit Card,2024-04-13 10:00:00
ORD-000085,CUST-0278,PROD-0011,Electronics|Tablets|iPad Pro 12.9,FedEx|TRK321810768,2024-10-08,3,1038.61,15,2648.46,shipped,Europe,Web,Credit Card,2024-10-09 15:00:00
ORD-000086,CUST-0242,PROD-0055,Home & Garden|Garden|Solar Lantern Set 4pk,FedEx|PKG131130659,2024-01-26,1,57.35,0,57.35,In Progress,Europe,Partner API,Crypto,2024-01-28 09:00:00
ORD-000087,CUST-0239,PROD-0054,Home & Garden|Garden|Garden Hose Reel,TNT Express|TRK911472797,2024-03-08,1,95.68,15,81.33,cancelled,North America,Web,Bank Transfer,2024-03-10 12:00:00
ORD-000088,CUST-0201,PROD-0007,Electronics|Laptops|Dell XPS 15,Evri|SHP490250763,2024-06-18,3,1531.63,0,4594.89,Completed,Europe,Web,Bank Transfer,2024-06-20 11:00:00
ORD-000089,CUST-0053,PROD-0089,Books & Media|Educational|Cloud Architecture Pro,Evri|PKG645406800,2024-02-24,3,54.73,0,164.19,SHIPPED,Europe,Mobile App,Crypto,2024-02-26 04:00:00
ORD-000090,CUST-0034,PROD-0010,Electronics|Laptops|ASUS ZenBook Pro,DHL|DEL512119784,2024-04-16,5,1179.19,5,5601.15,Pending,Europe,Web,Credit Card,2024-04-16 09:00:00
ORD-000091,CUST-0285,PROD-0074,Sports & Outdoors|Water Sports|Surfboard Shortboard 6ft,Evri|DEL449372065,2024-08-15,2,523.71,5,995.05,Completed,Europe,Partner API,Crypto,2024-08-17 00:00:00
ORD-000092,CUST-0001,PROD-0023,Clothing|Men's Apparel|Classic Chino Pants,TNT Express|PKG723594774,2024-03-17,4,79.59,5,302.44,Cancelled,North America,Partner API,PayPal,2024-03-18 14:00:00
ORD-000093,CUST-0005,PROD-0055,Home & Garden|Garden|Solar Lantern Set 4pk,DPD|TRK725698331,2024-09-18,4,63.92,20,204.54,SHIPPED,North America,Mobile App,Credit Card,2024-09-18 00:00:00
ORD-000094,CUST-0222,PROD-0070,Sports & Outdoors|Team Sports|Football Pro Match,Royal Mail|TRK352588284,2024-10-29,4,81.37,15,276.66,Pending,Europe,Mobile App,Crypto,2024-10-30 03:00:00
ORD-000095,CUST-0214,PROD-0075,Sports & Outdoors|Water Sports|Snorkel Set Premium,TNT Express|DEL486856173,2024-05-27,2,72.07,0,144.14,Completed,North America,Mobile App,Bank Transfer,2024-05-27 17:00:00
ORD-000096,CUST-0093,PROD-0018,Electronics|Headphones|Sennheiser Momentum 4,Evri|DEL769207967,2024-09-17,4,302.74,5,1150.41,pending,Europe,Web,Bank Transfer,2024-09-17 00:00:00
ORD-000097,CUST-0296,PROD-0051,Home & Garden|Kitchen|Espresso Machine,Royal Mail|DEL686441554,2024-01-18,1,303.89,15,258.31,Pending,North America,Mobile App,Credit Card,2024-01-18 18:00:00
ORD-000098,CUST-0046,PROD-0073,Sports & Outdoors|Team Sports|Volleyball + Net Set,GLS|TRK661950074,2024-08-29,1,103.37,10,93.03,SHIPPED,Europe,Web,Crypto,2024-08-29 01:00:00
ORD-000099,CUST-0151,PROD-0060,Home & Garden|Home Decor|Photo Frame Set 5pk,DPD|DEL478939097,2024-03-26,1,51.29,10,46.16,SHIPPED,Asia Pacific,Mobile App,PayPal,2024-03-26 07:00:00
ORD-000100,CUST-0014,PROD-0051,Home & Garden|Kitchen|Espresso Machine,FedEx|SHP968545231,2024-09-05,1,272.22,0,272.22,shipped,North America,Mobile App,PayPal,2024-09-06 11:00:00
ORD-000101,CUST-0078,PROD-0078,Books & Media|Fiction|The Last Algorithm,Evri|PKG735408331,2024-08-16,3,17.18,0,51.54,Shipped,Europe,Mobile App,Credit Card,2024-08-17 19:00:00
ORD-000102,CUST-0197,PROD-0084,Books & Media|Non-Fiction|The Art of Deep Focus,USPS|DEL927176115,2024-08-13,2,17.68,15,30.06,Pending,North America,Web,Credit Card,2024-08-13 06:00:00
ORD-000103,CUST-0273,PROD-0018,Electronics|Headphones|Sennheiser Momentum 4,Royal Mail|DEL901173040,2024-07-13,4,297.18,0,1188.72,In Progress,North America,Mobile App,Bank Transfer,2024-07-14 16:00:00
ORD-000104,CUST-0140,PROD-0078,Books & Media|Fiction|The Last Algorithm,GLS|SHP563626557,2024-05-18,3,17.16,0,51.48,pending,Europe,Partner API,Credit Card,2024-05-19 00:00:00
ORD-000105,CUST-0005,PROD-0049,Home & Garden|Kitchen|French Press Set,GLS|TRK822415501,2024-01-07,4,44.27,0,177.08,Cancelled,Europe,Partner API,PayPal,2024-01-08 08:00:00
ORD-000106,CUST-0112,PROD-0005,Electronics|Smartphones|Sony Xperia 1 VI,UPS|TRK737951442,2024-11-22,1,1363.87,0,1363.87,Completed,Latin America,Web,Bank Transfer,2024-11-25 00:00:00
ORD-000107,CUST-0240,PROD-0083,Books & Media|Non-Fiction|Data-Driven Leadership,DHL|SHP416290643,2024-02-08,4,26.43,0,105.72,In Progress,Asia Pacific,Partner API,PayPal,2024-02-09 08:00:00
ORD-000108,CUST-0171,PROD-0003,Electronics|Smartphones|Google Pixel 8,FedEx|DEL517245798,2024-05-12,3,644.97,0,1934.91,CANCELLED,Middle East & Africa,Web,Crypto,2024-05-14 02:00:00
ORD-000109,CUST-0055,PROD-0015,Electronics|Headphones|Sony WH-1000XM5,DHL|DEL334490716,2024-05-12,1,310.04,0,310.04,Shipped,Asia Pacific,Web,Bank Transfer,2024-05-12 19:00:00
ORD-000110,CUST-0169,PROD-0061,Sports & Outdoors|Fitness|Adjustable Dumbbell Set,Hermes|SHP262787284,2024-10-21,1,249.92,20,199.94,CANCELLED,Europe,Mobile App,Credit Card,2024-10-23 21:00:00
ORD-000111,CUST-0156,PROD-0018,Electronics|Headphones|Sennheiser Momentum 4,UPS|SHP458028166,2024-01-29,1,289.34,20,231.47,Pending,North America,Mobile App,PayPal,2024-01-30 01:00:00
ORD-000112,CUST-0200,PROD-0004,Electronics|Smartphones|OnePlus 12,TNT Express|SHP847197907,2024-11-18,3,646.9,15,1649.59,Cancelled,Asia Pacific,Web,Credit Card,2024-11-19 00:00:00
ORD-000113,CUST-0277,PROD-0020,Electronics|Cameras|Sony A7 IV,USPS|DEL167637817,2024-06-06,4,2519.36,20,8061.95,Cancelled,Middle East & Africa,Web,Credit Card,2024-06-07 19:00:00
ORD-000114,CUST-0268,PROD-0004,Electronics|Smartphones|OnePlus 12,UPS|PKG966621002,2024-10-01,2,686.55,0,1373.1,Completed,North America,Web,Bank Transfer,2024-10-01 02:00:00
ORD-000115,CUST-0026,PROD-0043,Home & Garden|Furniture|Solid Oak Desk,DHL|TRK284950962,2024-02-19,4,717.66,20,2296.51,Completed,Asia Pacific,Web,Credit Card,2024-02-21 15:00:00
ORD-000116,CUST-0206,PROD-0047,Home & Garden|Kitchen|KitchenAid Stand Mixer,TNT Express|DEL462219407,2024-03-02,5,403.39,0,2016.95,Shipped,Asia Pacific,Mobile App,Credit Card,2024-03-03 18:00:00
ORD-000117,CUST-0190,PROD-0012,Electronics|Tablets|Samsung Galaxy Tab S9,Hermes|PKG847641906,2024-03-25,4,749.84,10,2699.42,Completed,North America,Partner API,Crypto,2024-03-27 00:00:00
ORD-000118,CUST-0092,PROD-0064,Sports & Outdoors|Fitness|Pull-up Bar Doorframe,UPS|TRK107756709,2024-11-29,5,53.55,5,254.36,cancelled,Asia Pacific,Web,Credit Card,2024-11-30 10:00:00
ORD-000119,CUST-0093,PROD-0057,Home & Garden|Home Decor|Macrame Wall Hanging,DHL|TRK740242156,2024-09-12,5,87.54,15,372.05,SHIPPED,North America,Web,Crypto,2024-09-13 06:00:00
ORD-000120,CUST-0277,PROD-0019,Electronics|Cameras|Canon EOS R6 II,Evri|SHP917255218,2024-04-22,4,2661.13,15,9047.84,Shipped,North America,Web,Credit Card,2024-04-22 19:00:00
ORD-000121,CUST-0023,PROD-0077,Sports & Outdoors|Water Sports|Wetsuit 3mm Full,DHL|PKG819560168,2024-11-26,3,188.73,5,537.88,Shipped,North America,Mobile App,Credit Card,2024-11-26 13:00:00
ORD-000122,CUST-0060,PROD-0067,Sports & Outdoors|Outdoor|Tent 2-Person Ultralight,FedEx|DEL652873657,2024-04-30,4,254.54,0,1018.16,PENDING,North America,Partner API,PayPal,2024-05-01 05:00:00
ORD-000123,CUST-0212,PROD-0071,Sports & Outdoors|Team Sports|Basketball Size 7,UPS|PKG892150738,2024-07-11,2,52.96,10,95.33,CANCELLED,North America,Mobile App,Credit Card,2024-07-12 03:00:00
ORD-000124,CUST-0235,PROD-0092,Books & Media|Comics|Steel City Chronicles,Hermes|SHP246463340,2024-04-09,3,24.51,0,73.53,dispatched,North America,Partner API,Crypto,2024-04-09 07:00:00
ORD-000125,CUST-0176,PROD-0026,Clothing|Men's Apparel|Slim Fit Jeans,USPS|DEL283826012,2024-05-31,5,81.67,20,326.68,Complete,Europe,Mobile App,Credit Card,2024-05-31 11:00:00
ORD-000126,CUST-0237,PROD-0038,Clothing|Accessories|Silk Scarf,Evri|DEL998710123,2024-01-08,4,89.82,0,359.28,Shipped,North America,Mobile App,Credit Card,2024-01-08 19:00:00
ORD-000127,CUST-0259,PROD-0081,Books & Media|Fiction|Shadow Protocol,FedEx|TRK605359412,2024-08-05,5,14.62,20,58.48,completed,Europe,Web,Credit Card,2024-08-07 23:00:00
ORD-000128,CUST-0123,PROD-0075,Sports & Outdoors|Water Sports|Snorkel Set Premium,DHL|SHP417602552,2024-02-16,1,78.62,0,78.62,COMPLETED,Asia Pacific,Mobile App,Crypto,2024-02-16 03:00:00
